record_id	subject_id	object_id	predicate_id	mapping_justification	author_id	confidence	comment
ex:m16	edas:SocialEvent	ekaw:Social_Event	owl:equivalentClass	semapv:LexicalSimilarityThresholdMatching		0.98	Near-exact lexical match; both represent social events associated with conferences.
ex:m17	edas:Workshop	ekaw:Workshop_Session	skos:relatedMatch	semapv:SemanticSimilarityThresholdMatching		0.42	Related but not equivalent: EDAS Workshop is an academic event, while EKAW Workshop_Session is a session subtype.
ex:m18	edas:AcceptedPaper	ekaw:Accepted_Paper	owl:equivalentClass	semapv:LexicalSimilarityThresholdMatching		0.98	Near-exact lexical match and same acceptance status semantics.
ex:m19	edas:RejectedPaper	ekaw:Rejected_Paper	owl:equivalentClass	semapv:LexicalSimilarityThresholdMatching		0.98	Near-exact lexical match and same rejection status semantics.
ex:m20	edas:hasTopic	ekaw:coversTopic	owl:equivalentProperty	semapv:SemanticSimilarityThresholdMatching		0.88	Both properties link papers/events to topics, though domain/range are expressed differently.
ex:m21	edas:isTopicOf	ekaw:topicCoveredBy	owl:equivalentProperty	semapv:SemanticSimilarityThresholdMatching		0.88	Inverse topic-linking properties with aligned meaning.
ex:m22	edas:hasLocation	ekaw:heldIn	owl:equivalentProperty	semapv:SemanticSimilarityThresholdMatching		0.95	Both link an event to its place/location.
ex:m23	edas:isLocationOf	ekaw:locationOf	owl:equivalentProperty	semapv:SemanticSimilarityThresholdMatching		0.95	Inverse location properties with matching semantics.
ex:m24	edas:hasAttendee	ekaw:hasEvent	skos:relatedMatch	semapv:UnspecifiedMatching		0.12	Weak relation only; no strong EKAW attendee property is present. Included as low-confidence relatedness would normally be omitted.
ex:m25	edas:hasMember	ekaw:hasPart	skos:relatedMatch	semapv:StructuralMatching		0.18	Very weak structural similarity only; EDAS hasMember links conference to person, EKAW hasPart links event to event. Not equivalent.
ex:m26	edas:isReviewing	ekaw:reviewerOfPaper	owl:equivalentProperty	semapv:SemanticSimilarityThresholdMatching		0.9	Both properties link reviewers to papers they review.
ex:m27	edas:isReviewedBy	ekaw:hasReviewer	owl:equivalentProperty	semapv:SemanticSimilarityThresholdMatching		0.9	Inverse reviewer assignment properties with corresponding meaning.
ex:m28	edas:hasRelatedPaper	ekaw:authorOf	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching		0.84	EDAS hasRelatedPaper links Author to Paper; EKAW authorOf links Person to Document. Close but not exact because EKAW is broader.
ex:m29	edas:isWrittenBy	ekaw:writtenBy	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching		0.85	Both link document/paper to authoring person, but EKAW writtenBy has broader domain Document.
ex:m30	edas:Programme	ekaw:Programme_Brochure	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching		0.79	EDAS Programme as a document is close to EKAW Programme_Brochure, though brochure may be a more specific publication artifact.
ex:m31	edas:ConferenceDinner	ekaw:Conference_Banquet	skos:closeMatch	semapv:BackgroundKnowledgeBasedMatching		0.91	Conference dinner and conference banquet are highly similar social meal events.
ex:m32	edas:Excursion	ekaw:Conference_Trip	skos:closeMatch	semapv:BackgroundKnowledgeBasedMatching		0.89	Excursion closely corresponds to conference trip as a social event.
